Year;Code;1.a.2 health-expenditure-government-expenditure;2.3.1 agriculture-value-added-per-worker-wdi;3.8.1 healthcare-access-and-quality-index;4.3.1 gross-enrollment-ratio-in-tertiary-education;5.5.1 seats-held-by-women-in-national-parliament;6.4.1 water-productivity;7.2.1 renewables-share-final-energy;7.3.1 energy-intensity-of-economie;8.1.1 gdp-per-capita-worldbank;9.2.2 industry-share-of-total-emplyoment;9.4.1 cco2-intensity;9.5.2 researchers-in-rd-per-million-people;11.6.2 PM25-air-pollution;12.2.2 domestic-material-consumption-per-capita;12.5.1 municipal-waste-recycled;13.2.1 co-emissions-per-capita;15.1.1 forest-area-as-share-of-land-area;16.1.1 intentional-homicides-per-100000-people
2012;MEX;11.46749923;5082.59746171777;;28.3074398040771;36.8;13.7373199656554;8.96482420763479;1.1303503033876026;18594.8944659843;23.758;0.285229644;;25.9816588282646;8.22969;2100000.0;4.231965994;34.31073330075362;22.142133344
2013;MEX;11.58149111;5132.3077552629;;29.2085800170898;36.8;;9.23136345664358;1.1176129687171348;18600.3711821448;24.024;0.276909418;;25.4490896722485;8.23779;;4.124733184;34.247727565009384;19.408862745
2014;MEX;11.58149111;5203.3766886488;;29.9409008026123;37.4;;9.7584624231682;1.070311965556507;18887.5674432127;25.729;0.265817009;;23.0996897467602;7.96723;;3.997580375;34.18472182926516;16.625796371
2015;MEX;;5208.33200620891;62.6;;42.3694779116466;;9.2152134550018;1.0384795611870343;19268.9143963283;25.067;0.259126124;;22.132995848429;7.95178;;3.955215013;34.121716093520924;17.037828649
2016;MEX;;5532.74486394097;;;42.4;;;;19539.2612488443;25.158;0.257781306;;20.7068285436195;7.97777;;3.929433769;34.0559911520358;19.91269533
2017;MEX;;5505.35753065414;;;42.6;14.5998042085464;;;19721.2609759241;25.228;;;20.9211157874081;8.00474;;3.696498746;33.99026621055068;25.708997803
2018;MEX;;;;;48.2;;;;19928.3956618582;;;;;;;3.574587958;33.924541269065564;29.071061625
2019;MEX;;;;;48.2;;;;19701.337669842;;;;;;;3.437148233;33.858816327580435;
2020;MEX;;;;;48.2;;;;17887.7507356971;;;;;;;;33.79309138609532;
2000;FSM;10.91982919;;46.8;14.1218595504761;0.0;;1.19235364882882;1.5268349817407971;3434.09809300597;;;;14.1244844726363;1.07198;;;;
2001;FSM;12.46224708;;;;0.0;;0.800957397139399;2.010254594139786;3516.22912634835;;;;;1.09522;;;;
2002;FSM;12.49504755;;;;0.0;;1.01710432926327;1.69306648693327;3540.18659017591;;;;;1.14643;;;;
2003;FSM;13.48151371;;;;0.0;;1.02422891342579;1.6650496778968185;3600.04699838235;;;;;1.43604;;;;
2004;FSM;13.95904189;;;;0.0;;1.04227871509864;1.7230037158587177;3498.25730331304;;;;;1.63256;;;;
2005;FSM;19.08097166;;49.8;;0.0;;1.10106391993307;1.396316853637845;3586.13383148819;;;;14.0063009307145;1.8967;;;;
2006;FSM;18.26963351;;;;0.0;;1.25392353957394;1.4440270768435517;3609.1047711564;;;;;2.22038;;;;
2007;FSM;18.80408971;;;;0.0;;1.20998134133582;1.6411253874490654;3574.44980822736;;;;;2.31183;;;;
2008;FSM;19.79571984;;;;0.0;;1.3503949672653;1.485700584311083;3518.44283994311;;;;;2.42453;;;;
2009;FSM;18.92255892;;;;0.0;;1.14670514113907;1.9856022970853893;3576.86862929131;;;;;2.66465;;;;
2010;FSM;18.62164741;;51.5;;0.0;;1.50033404079487;1.3915816441092166;3659.63876623588;;;;13.7492451986709;1.73387;;;;
2011;FSM;19.10408531;;;;0.0;;1.42752389437571;1.4717136722530515;3756.90863055994;;;;13.7316520963357;1.67279;;;;
2012;FSM;17.76101985;;;;0.0;;1.32291087075043;1.6034134268230236;3649.44968018278;;;;12.97443871936;1.77219;;;;
2013;FSM;20.39812855;;;;0.0;;1.24930741982317;1.7337864579088622;3468.16661703968;;;;12.7425153346975;1.77999;;;;
2014;FSM;21.22835718;;;;0.0;;1.15799036056395;1.90118102204554;3340.20288328043;;;;11.8668688547721;1.90687;;;;
2015;FSM;;;53.8;;0.0;;1.19623786232284;1.829847745391153;3448.30369231563;;;;11.7259846518341;1.97486;;;;
2016;FSM;;;;;0.0;;;;3437.38984001769;;;;11.134511068424;2.04099;;;;
2017;FSM;;;;;0.0;;;;3490.13048688552;;;;11.2833994444834;2.10539;;;;
2018;FSM;;;;;0.0;;;;3460.90904773797;;;;;;;;;
2019;FSM;;;;;0.0;;;;3466.41329281782;;;;;;;;;
2020;FSM;;;;;0.0;;;;;;;;;;;;;
2000;MDA;8.87935473;1000.89736283608;60.8;32.529670715332;7.92079207920792;;5.72213871252037;3.956052641393749;5074.37706419218;33.166;0.472462758;;19.5811008296464;3.5972;;0.850095646;10.47126786257221;10.303001029
2001;MDA;10.17313135;1054.13680119214;;31.7273006439209;12.8712871287129;;5.5970627435527;3.947349879115961;5395.96732756623;33.434;0.481793069;;;4.01732;;0.904368044;10.562785041045911;9.8158700407
2002;MDA;11.79653119;1127.77278197281;;32.2052307128906;12.8712871287129;5.58623637576673;5.82772809511817;3.713982804721395;5830.3391258524;32.333;0.468775583;;;4.26034;;0.969778842;10.65430221951961;9.5973699856
